ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
8470,B,Road,4,5,210,4,low,M,3,5432,1
9069,A,Ship,5,5,231,2,medium,F,6,5862,0
1292,F,Ship,3,4,212,2,high,M,13,2733,1
1729,D,Ship,2,3,249,2,low,M,1,2905,1
4283,C,Ship,3,1,142,2,low,F,5,4728,0
10929,A,Ship,3,5,278,4,medium,F, *7 ,1785,0
9910,B,Ship,6,2,245,4,low,F,9,1594,0
9116,F,Ship,3,4,247,3,medium,M,9,5383,0
1978,B,Ship,3,3,147,3,low,M,16,1563,1
3453,A,Ship,5,1,123,2,low,F,9,5497,0
4756,B,Ship,6,4,291,4,low,F, *7 ,1131,0
8930,F,Ship,4,3,269,5,low,M,2,1273,1
6621,A,Ship,5,5,230,3,low,F,10,5163,0
5145,A,Ship,2,3,274,4,medium,F,10,4798,1
8037,A,Ship,6,2,287,4,low,F, *7 ,1837,1
5185,D,Road,3,2,111,2,low,F,4,4245,1
3297,A,Flight,5,4,233,2,low,F, *7 ,4597,1
5882,F,Road,3,4,143,3,low,F,1,4392,1
6340,B,Ship,3,1,239,2,medium,F,2,5757,1
6412,B,Ship,3,4,216,3,medium,M,3,5651,0
9049,D,Flight,4,1,177,3,medium,F,6,5215,0
3590,F,Ship,3,1,121,2,low,M,2,5210,1
5101,D,Ship,3,5,274,3,medium,M,5,4710,1
3075,A,Ship,3,2,255,2,low,M,18,3732,1
5060,F,Road,4,3,143,3,low,F,2,4693,0
5661,A,Ship,4,4,152,2,medium,F,5,5324,0
9827,C,Ship,5,2,165,5,medium,M,9,5313,0
4270,B,Ship,4,2,249,4,medium,M,4,5418,1
9952,B,Ship,6,4,288,4,medium,F,9,1575,0
7917,A,Ship,3,3,230,3,low,M,4,4018,1
2073,A,Ship,3,1,235,10,low,M, *7 ,2991,1
7119,A,Road,3,5,221,3,medium,F, *7 ,4523,0
2367,A,Ship,5,4,200,3,medium,M,24,2078,1
4141,D,Ship,3,5,232,3,low,M,10,5333,0
8057,C,Road,5,3,258,3,medium,F,1,5719,0
9080,F,Ship,3,5,150,10,low,M,2,5042,0
921,A,Ship,3,2,214,2,low,M,26,3503,1
7081,D,Ship,3,1,200,4,medium,F,9,5193,0
6732,F,Ship,5,2,246,3,medium,F,10,5110,0
3083,C,Ship,3,4,210,2,medium,M,29,3142,1
3873,A,Ship,4,2,201,3,medium,M, *7 ,5967,1
10829,C,Flight,3,3,192,3,high,F,4,4339,1
4971,A,Ship,5,5,233,3,high,M,5,5330,0
10633,D,Ship,2,3,273,4,low,M,3,5079,0
472,B,Ship,4,3,244,3,medium,M, *7 ,3318,1
6386,F,Ship,3,4,269,2,low,F, *7 ,5294,1
4212,F,Ship,4,3,144,2,low,F,5,4882,0
148,B,Flight,4,3,146,4,medium,F,24,1844,1
10655,C,Ship,5,1,251,4,low,M,1,5011,1
6053,C,Ship,7,2,302,5,medium,M,5,1614,0
10158,F,Ship,4,5,163,3,medium,M,1,4049,1
10850,F,Ship,3,4,168,3,medium,F,3,5303,1
5347,D,Flight,3,1,191,2,medium,F,10,5073,0
10897,D,Ship,4,1,133,4,low,F,10,5258,0
2572,B,Ship,4,5,212,4,low,M,21,1014,1
7180,B,Ship,5,5,263,4,low,F,9,1551,0
3605,C,Ship,7,4,282,5,low,M,5,1149,0
2063,C,Flight,4,3,213,2,low,M,27,2034,1
468,F,Ship,4,4,173,5,medium,F,2,1175,1
6380,F,Ship,5,3,266,3,low,M,4,4969,1
7778,F,Ship,5,3,141,3,low,M,2,4124,1
10567,D,Ship,3,4,254,2,medium,M,2,5957,0
2343,A,Flight,5,2,260,3,low,F,22,2935,1
5209,D,Flight,4,1,184,3,low,F, *7 ,4667,0
9342,F,Ship,6,1,141,3,low,F,2,5144,0
6785,C,Ship,3,1,220,3,medium,F,6,5319,0
5305,D,Ship,4,5,183,2,medium,F, *7 ,4422,0
2974,B,Ship,5,3,213,2,high,F,27,2581,1
9777,A,Ship,3,1,192,3,medium,M,4,4997,1
3268,B,Road,2,3,242,2,medium,F,1,5892,1
3840,F,Flight,5,2,171,3,low,M,3,4749,1
5869,D,Road,3,3,145,3,medium,M,1,5709,0
9721,D,Road,4,2,147,3,low,M,3,4152,1
2566,B,Ship,3,2,198,3,low,M,15,3250,1
889,D,Ship,3,5,212,3,high,M,6,2069,1
6305,C,Flight,6,5,252,4,low,F,2,1249,0
1839,A,Ship,4,1,253,3,low,M,31,3632,1
3331,D,Ship,6,3,224,6,high,M, *7 ,5661,0
8897,C,Road,6,4,294,4,medium,M,5,1174,0
1623,A,Road,3,1,180,3,high,F,21,1047,1
645,A,Ship,6,4,121,5,low,M,23,1734,1
10737,A,Ship,5,3,257,5,medium,F,10,1812,0
10742,F,Ship,5,3,218,5,medium,F,4,1433,0
4736,F,Ship,3,4,211,3,high,M, *7 ,5191,1
3891,A,Ship,3,1,204,3,medium,M,4,5900,1
10392,F,Road,4,3,180,3,medium,M,4,5471,0
10922,F,Ship,5,1,234,5,medium,F,9,1932,1
4672,B,Flight,4,3,208,2,medium,M,6,4276,1
8712,F,Ship,4,5,223,3,low,M,9,5649,1
1624,B,Road,3,4,157,2,medium,M,12,1694,1
2776,B,Ship,4,1,178,3,low,M,19,1906,1
10703,C,Flight,5,5,260,5,low,F,2,1128,0
7290,F,Ship,5,3,202,2,low,F,6,5716,0
9740,F,Flight,3,4,143,3,low,M,10,5261,0
5537,C,Ship,6,2,245,4,low,F, *7 ,1904,0
7013,C,Ship,4,3,197,3,low,M,2,4410,0
8450,F,Ship,5,5,177,5,low,F,1,4379,1
5197,D,Road,3,3,259,3,medium,F,5,4664,0
7202,F,Ship,6,1,272,4,medium,M,10,1534,1
10440,F,Ship,2,5,235,3,high,F,10,5775,1
972,F,Flight,3,5,173,2,low,M,14,1638,1
225,A,Ship,3,4,192,3,medium,F,31,3331,1
6260,F,Ship,6,3,306,4,low,M,10,1372,1
7958,F,Flight,7,5,308,5,medium,M,6,1154,0
532,B,Road,2,4,179,2,low,F,19,1900,1
6744,F,Ship,6,3,165,5,medium,M,5,4871,0
529,D,Road,5,5,261,3,medium,F, *7 ,3257,1
4959,A,Ship,5,4,250,6,low,F,1,4343,0
7870,B,Ship,4,5,240,2,medium,M,6,5045,1
8836,B,Ship,5,2,225,5,low,M,5,1015,0
4325,C,Ship,4,1,277,5,medium,M,3,1527,1
763,D,Ship,6,5,176,4,medium,M,31,1262,1
2999,C,Road,5,1,271,4,low,F,4,2718,1
6886,B,Ship,4,3,245,6,low,F,3,1155,0
10830,F,Flight,4,4,199,4,high,M,1,4163,1
4236,F,Road,4,5,246,3,low,M,10,4616,1
8348,F,Road,7,2,297,4,low,F, *7 ,1383,1
4709,C,Ship,5,1,160,3,medium,M,3,5839,0
6175,D,Flight,5,4,157,3,medium,F, *7 ,4199,1
3588,F,Ship,5,1,194,7,medium,M, *7 ,4770,0
6466,B,Ship,4,1,253,4,low,F,1,5621,0
1234,B,Flight,3,5,176,3,high,F,1,1982,1
3473,C,Ship,5,4,134,3,medium,M,4,4908,0
3671,C,Ship,4,2,168,2,medium,M,1,5154,0
1468,B,Ship,3,5,250,4,low,F,11,3464,1
10586,F,Ship,4,4,160,5,low,M,6,4055,0
7557,A,Ship,3,3,261,3,medium,M,4,5482,1
9082,B,Ship,3,2,247,2,low,F,2,4677,0
4577,C,Ship,4,2,196,2,low,M,4,5852,0
8310,F,Ship,5,5,256,5,low,F,10,1333,1
3870,F,Ship,5,5,253,2,medium,F,2,4364,0
6651,A,Ship,5,5,162,2,medium,M,6,5868,0
8218,B,Flight,5,3,171,3,medium,F, *7 ,4994,0
1250,F,Flight,4,1,247,3,low,F,9,2414,1
10060,B,Ship,4,5,155,3,low,F,10,5315,1
9673,D,Ship,6,4,296,4,low,M, *7 ,1969,0
9529,D,Ship,5,4,273,2,low,F,1,5008,1
3004,B,Road,5,4,280,4,low,F,19,3298,1
7139,C,Flight,3,4,180,7,high,M,4,4408,0
1572,F,Ship,5,2,151,4,low,M,12,1145,1
1846,B,Ship,4,4,201,10,medium,M,17,2059,1
5919,A,Ship,4,3,196,2,low,F,5,5656,0
10149,A,Flight,5,3,243,6,medium,F,10,1189,1
6099,A,Ship,5,5,153,5,medium,M,10,5297,0
10003,D,Flight,4,4,153,3,medium,M,3,4422,1
9129,A,Ship,3,1,250,3,low,F, *7 ,4760,0
7094,F,Ship,3,3,266,7,low,M,2,5671,1
9396,F,Ship,6,3,255,4,low,M,6,1654,1
9417,A,Ship,5,4,236,5,low,M,6,1829,1
9624,F,Ship,6,3,304,4,low,M,3,1752,1
10607,C,Ship,4,4,209,3,high,F,5,5979,0
7599,A,Ship,3,1,179,2,medium,M,2,4085,0
8881,D,Road,7,5,308,4,medium,M,1,1477,1
8752,B,Road,5,1,251,4,medium,M,10,5931,0
10262,F,Road,4,1,160,2,medium,M,1,5741,1
8648,F,Flight,6,1,285,4,low,F,3,1448,1
9214,B,Ship,4,2,160,2,medium,M,3,4304,1
9867,A,Flight,4,1,220,3,medium,F, *7 ,4552,1
4754,F,Ship,6,2,247,4,low,M,10,1556,0
10628,F,Ship,3,5,136,3,medium,F, *7 ,4147,0
8476,B,Road,4,3,232,2,low,M,1,5398,0
4847,C,Ship,5,4,267,2,low,M, *7 ,5292,0
10753,D,Ship,5,1,260,5,low,M,4,1257,0
7888,B,Ship,4,3,137,3,medium,M,9,5016,0
9400,B,Ship,5,4,226,6,low,M,1,1327,0
5134,B,Ship,4,5,261,3,high,M,3,4885,1
5132,F,Ship,5,1,265,3,high,M,5,4951,1
7624,B,Ship,5,5,183,3,medium,F,3,4071,1
7352,F,Ship,3,2,154,3,low,F,6,5540,1
2442,F,Road,4,5,133,3,medium,M,3,1403,1
6377,C,Ship,3,4,188,4,medium,M,5,5216,1
9927,A,Ship,5,1,233,5,medium,F,6,1631,1
2164,B,Ship,4,5,193,4,low,M,33,2173,1
1860,F,Ship,2,5,170,8,low,M,14,1396,1
9891,A,Ship,3,4,247,3,low,F,4,5844,0
7232,F,Ship,3,3,202,2,medium,F,1,5220,1
5787,A,Ship,6,5,269,4,low,M,5,1264,1
8691,A,Ship,3,5,243,3,low,M,1,4623,0
1875,A,Ship,4,5,217,4,medium,F,12,2217,1
8011,D,Ship,5,3,238,5,high,M, *7 ,1848,0
5676,F,Ship,3,4,102,3,medium,M,9,4111,0
9263,C,Ship,3,3,160,3,low,M,1,4769,0
10379,C,Ship,4,4,245,3,medium,F, *7 ,4480,1
4127,C,Flight,4,3,249,3,low,M,5,5017,1
4796,F,Flight,6,4,247,4,low,F,2,1326,0
5028,F,Ship,7,4,295,4,low,M,5,1239,0
5978,F,Ship,4,2,252,3,medium,F,4,5782,0
4651,D,Road,3,2,180,2,high,F, *7 ,4408,0
851,C,Ship,4,2,170,2,low,F,1,1446,1
6523,D,Ship,3,5,270,6,medium,F,9,4195,0
9084,F,Ship,4,5,233,3,medium,F, *7 ,5604,1
6799,D,Ship,4,3,172,3,medium,F,10,5434,0
10131,A,Road,5,1,151,3,medium,F,1,4981,0
7441,D,Ship,5,1,207,2,high,M,3,4083,0
9698,F,Ship,6,3,274,4,low,F,5,1452,0
9693,A,Ship,6,4,292,4,medium,M,5,1793,0
7529,C,Road,3,3,140,2,low,F,3,5713,0
8775,A,Flight,4,2,242,2,medium,F, *7 ,5243,1
6988,B,Flight,3,5,210,3,low,M,6,5566,0
279,A,Flight,4,3,171,3,low,F,24,1304,1
7632,F,Ship,5,4,225,2,low,M, *7 ,4725,0
3340,B,Ship,4,1,272,2,medium,F,5,5252,0
7009,D,Ship,4,1,196,2,low,M,3,4752,0
2870,F,Road,4,5,203,2,low,F,20,2421,1
5160,F,Ship,5,2,196,5,low,M,10,5111,0
6424,B,Road,4,3,149,4,medium,M,1,4678,0
9437,C,Road,6,2,235,5,low,F,5,1051,1
3756,F,Ship,3,2,181,3,medium,F,9,4163,0
9372,F,Ship,6,2,191,5,low,M,1,4314,0
10134,F,Flight,3,1,250,3,medium,F, *7 ,5509,0
8855,C,Ship,3,1,138,10,low,F,4,4496,1
3255,A,Ship,3,4,100,3,medium,M,4,4191,0
6511,D,Ship,6,2,246,4,medium,M, *7 ,1071,0
9136,B,Ship,6,5,253,4,medium,M, *7 ,1899,1
6815,C,Ship,6,3,297,4,medium,M,2,1954,0
9748,B,Ship,5,4,164,3,low,M,9,5135,1
7200,F,Ship,7,3,278,4,low,M,2,1038,1
4838,F,Ship,3,3,189,2,low,F,9,4690,0
7504,B,Ship,4,2,265,5,low,M, *7 ,1555,0
1056,F,Ship,3,3,152,3,medium,M,5,1385,1
550,B,Flight,3,4,176,3,medium,F, *7 ,1567,1
8757,A,Road,3,1,154,3,medium,M,4,4631,0
5554,B,Ship,4,2,267,5,low,M,9,4720,1
9957,A,Ship,5,2,269,5,medium,F,10,1113,1
3467,C,Ship,4,3,143,3,medium,F,3,5062,1
1224,F,Road,3,1,258,2,medium,M,11,2791,1
6476,F,Ship,3,2,270,6,medium,F,10,4725,1
7490,F,Ship,7,3,267,4,medium,M, *7 ,1892,1
8840,F,Ship,7,1,255,4,medium,F, *7 ,1088,1
3811,D,Road,4,3,257,10,medium,F,3,5881,1
10194,F,Ship,6,4,280,4,low,M,4,1831,1
181,D,Ship,4,1,161,7,medium,F,18,1294,1
6425,C,Road,5,1,163,3,low,M,4,4200,0
3609,A,Ship,3,5,257,3,low,M,5,5657,0
868,B,Ship,4,3,261,3,low,F,10,2802,1
5483,C,Flight,5,4,217,2,medium,M,4,4380,1
959,C,Flight,4,1,161,2,high,F,21,1075,1
8708,F,Ship,3,5,248,2,medium,M,1,4108,1
4692,F,Ship,4,1,144,4,medium,M, *7 ,4303,0
5533,D,Ship,7,3,270,4,medium,F,10,1211,0
4613,C,Ship,4,2,205,2,low,F,10,5580,0
531,A,Road,3,2,237,2,high,M,26,3103,1
6467,C,Ship,5,3,230,4,medium,M,4,5278,1
9541,D,Ship,5,1,189,2,medium,M, *7 ,5219,0
6472,B,Ship,4,4,266,3,low,M,3,5531,1
9273,A,Ship,4,1,195,3,medium,M,2,4682,0
8139,A,Ship,3,4,263,3,medium,F,2,5741,1
6309,A,Flight,7,5,260,4,low,F,3,1930,1
2893,D,Flight,3,2,190,3,medium,M,18,2715,1
8845,D,Ship,4,5,208,2,low,M,1,4039,0
7052,F,Ship,3,5,222,5,medium,M,2,4027,1
2028,F,Ship,3,5,187,3,low,M,20,2374,1
3251,C,Ship,4,1,181,2,low,F,3,5877,0
7372,B,Road,4,4,181,3,medium,M,1,5444,0
8299,D,Ship,3,4,209,2,high,F,5,4363,0
9901,D,Ship,3,2,194,3,medium,F, *7 ,4727,1
1256,F,Ship,4,5,196,3,medium,M,16,3722,1
6978,F,Road,6,2,215,5,low,F, *7 ,4057,0
7132,B,Flight,3,5,167,2,low,M,5,5042,1
4397,C,Flight,3,1,223,3,medium,F,4,4495,1
7885,D,Ship,3,1,222,3,low,M,1,5362,1
10441,D,Ship,4,4,187,3,high,M,6,4567,0
5346,F,Flight,3,3,175,3,low,M,2,5740,1
10817,C,Road,3,3,176,3,medium,M,9,5575,0
4214,F,Ship,4,4,199,3,low,M,10,5002,1
10527,A,Road,4,1,204,6,low,M,1,4943,0
486,F,Ship,5,5,263,8,medium,F,9,2236,1
3834,F,Flight,4,4,213,4,low,M,2,5857,1
4584,F,Ship,2,2,170,3,high,F, *7 ,4284,1
3189,A,Ship,3,3,213,10,medium,M,2,4847,0
8543,C,Ship,4,5,144,8,medium,F,2,4956,1
4040,F,Ship,4,3,129,6,medium,F,5,5626,0
5700,F,Ship,3,1,170,2,low,F,2,5662,1
6427,D,Road,5,1,187,2,low,F, *7 ,4792,0
3631,D,Ship,4,5,194,2,low,M,3,4724,1
4049,C,Ship,5,2,160,3,high,M,3,4599,0
6357,A,Ship,3,5,238,6,medium,M, *7 ,5620,0
3778,B,Ship,2,4,147,2,medium,M,3,5136,1
5234,F,Ship,3,5,221,10,medium,F, *7 ,5743,1
6227,C,Ship,4,4,227,5,low,M, *7 ,1982,1
1540,B,Ship,3,2,184,4,medium,F,10,2972,1
1077,A,Road,3,4,195,3,medium,M,10,2021,1
5427,A,Ship,4,4,239,3,low,M,4,4756,0
5763,A,Flight,6,3,245,4,low,M,2,1158,1
7067,C,Ship,3,1,210,3,medium,M,4,5683,0
9145,D,Ship,5,3,268,5,medium,M,5,1365,0
7730,F,Ship,7,4,291,4,medium,M,1,1817,1
4783,D,Road,3,4,144,3,medium,M, *7 ,5867,1
6332,F,Ship,3,4,239,4,medium,F, *7 ,4537,0
5187,A,Road,4,5,234,3,low,M,3,5438,0
9098,F,Ship,4,2,231,5,medium,M, *7 ,1562,0
1391,C,Ship,4,5,186,3,low,F,16,2693,1
1219,D,Road,4,4,184,4,medium,M, *7 ,2306,1
9561,A,Ship,3,2,236,2,medium,M,2,4239,1
6339,A,Ship,3,5,154,3,high,F,2,4219,0
5875,D,Road,4,2,202,3,low,M, *7 ,4575,1
2016,F,Ship,5,5,166,3,medium,F,20,1267,1
8380,B,Ship,4,1,200,3,medium,F,5,4120,1
8655,A,Ship,7,5,301,4,low,F, *7 ,1727,0
10644,F,Ship,2,4,258,3,medium,M,3,4811,0
10774,B,Ship,5,4,223,5,low,F,2,1713,0
8489,C,Road,3,3,133,2,medium,M, *7 ,4241,0
6048,F,Ship,6,3,295,5,low,M,4,1392,0
9780,F,Ship,5,5,251,2,high,F,3,4741,1
10486,B,Ship,4,2,259,6,medium,M, *7 ,1096,1
4329,A,Ship,3,4,213,2,medium,F,6,5374,1
8570,F,Ship,3,5,191,4,low,M,2,5177,1
7070,F,Ship,4,3,143,2,medium,M,1,4402,1
8738,F,Ship,3,4,264,3,low,M, *7 ,4575,1
7757,C,Ship,7,3,272,4,medium,M, *7 ,1067,1
872,F,Ship,4,2,208,3,high,M,17,2777,1
7478,F,Ship,5,2,262,5,low,M,4,1509,1
6144,F,Road,4,3,243,4,low,F,9,4811,0
10716,F,Ship,5,2,254,5,medium,F,4,1926,0
3571,D,Flight,3,4,183,2,low,M,5,4261,1
3550,B,Road,4,3,102,3,medium,F,3,4845,1
4190,F,Ship,4,1,190,2,medium,F,4,4501,0
6004,B,Road,6,5,295,4,medium,M,2,1981,0
3449,C,Ship,2,3,144,4,low,F,10,4075,0
10659,A,Ship,5,4,260,5,low,F,2,1178,1
5343,A,Flight,4,2,243,2,medium,F,6,4573,0
10475,C,Ship,3,4,236,4,medium,M,2,1016,0
9476,F,Ship,3,1,270,2,medium,M,6,4966,0
3659,C,Ship,3,2,243,3,medium,F, *7 ,4093,0
10660,B,Road,4,4,259,5,low,F,5,1065,1
8387,C,Ship,2,4,264,3,low,F,1,5437,1
8537,C,Ship,6,1,222,8,low,M,2,4914,0
10847,C,Ship,4,4,197,2,low,F, *7 ,4684,0
8993,C,Ship,4,5,162,2,medium,F,9,5345,1
5590,B,Ship,4,5,257,2,low,M,3,5394,0
8460,F,Ship,4,2,128,3,medium,M, *7 ,5675,1
2469,A,Flight,4,2,148,3,medium,M,2,1805,1
574,B,Ship,4,3,108,6,low,F,22,1745,1
9874,B,Flight,3,5,202,4,medium,F, *7 ,4458,0
9285,A,Ship,5,4,235,3,low,M,3,4411,1
5814,F,Ship,4,5,274,3,medium,M,5,4773,0
10910,F,Ship,4,2,229,4,low,M, *7 ,5385,0
7761,A,Ship,5,1,276,5,low,F,6,1793,0
6797,C,Ship,4,1,186,2,low,M,4,4686,1
5940,F,Ship,4,4,274,2,low,F, *7 ,4873,1
4160,F,Ship,3,3,134,4,medium,M, *7 ,5370,1
6179,C,Flight,6,3,275,6,low,M,4,4875,0
9050,F,Flight,3,4,238,2,low,M,5,4349,1
1069,D,Ship,3,3,255,3,medium,M,23,3764,1
9269,C,Ship,3,1,170,3,high,F,6,5750,0
5695,D,Ship,5,3,142,4,medium,F,4,5116,1
8248,B,Ship,4,5,270,10,medium,M,9,5085,1
865,D,Ship,3,4,187,2,high,M, *7 ,3725,1
8576,F,Ship,3,1,269,8,medium,F,4,4290,0
4977,A,Ship,4,5,261,3,high,F,2,4954,1
1512,F,Flight,4,4,207,3,low,M,20,2637,1
1027,D,Ship,3,1,138,5,medium,F, *7 ,1349,1
4471,D,Ship,6,5,213,4,medium,F,3,5549,0
2209,D,Flight,3,1,184,2,low,F,31,3191,1
8083,D,Flight,4,4,115,3,medium,M, *7 ,4609,0
9805,D,Ship,3,2,255,4,low,F, *7 ,5511,0
8688,F,Ship,5,1,176,3,low,M,3,5919,0
1215,A,Road,3,3,270,4,low,F,18,2397,1
8697,A,Ship,5,4,255,3,low,F,1,5775,1
9090,F,Ship,7,1,308,4,medium,F,2,1504,0
9451,D,Flight,7,4,296,4,low,F,10,1033,0
1337,C,Ship,3,1,140,4,low,M,27,1184,1
3236,F,Ship,5,4,182,2,medium,M,2,4554,1
9603,A,Flight,3,4,155,3,medium,M,9,5718,1
7043,C,Ship,6,4,272,4,low,F,4,4098,0
9266,F,Ship,3,3,212,3,medium,M,10,5724,1
10159,D,Ship,3,3,257,3,low,M,5,4937,1
6007,D,Road,6,3,244,4,low,F,1,1317,1
6486,F,Ship,3,4,260,4,medium,M,10,5425,0
6416,F,Road,4,4,218,6,medium,M, *7 ,5101,1
8954,F,Ship,2,2,98,5,medium,M,10,4368,0
3314,F,Ship,4,4,212,2,medium,F,6,4117,1
6632,F,Ship,3,4,248,3,medium,F,6,4932,0
6300,F,Flight,5,5,258,5,medium,M, *7 ,1819,0
8904,F,Flight,6,5,308,4,low,F, *7 ,1078,0
1929,A,Flight,5,5,177,2,high,F,31,2000,1
9367,D,Ship,4,3,189,3,medium,F,4,5613,1
7674,F,Flight,4,5,206,4,medium,F,1,1593,0
9194,F,Flight,7,4,264,4,medium,M,6,1265,0
7325,C,Ship,3,1,212,2,medium,M, *7 ,5022,0
5480,F,Flight,3,2,209,2,medium,M,6,5095,1
7418,F,Ship,7,5,282,5,low,M, *7 ,1260,1
5151,A,Ship,4,1,241,4,medium,M,5,5080,0
5589,A,Ship,4,4,189,4,medium,F,9,5838,1
4877,C,Ship,4,2,237,3,low,F, *7 ,4785,0
10491,A,Ship,3,1,194,4,low,F, *7 ,4308,0
9230,F,Ship,3,2,113,5,medium,M,1,5993,0
2637,A,Ship,4,3,154,3,medium,M,10,1711,1
7164,F,Ship,4,5,228,5,low,M,9,1381,0
3828,F,Road,3,3,182,4,low,M,10,1690,1
3156,F,Flight,3,4,149,3,low,M,1,5040,1
6850,B,Flight,3,1,158,7,medium,F,6,4166,0
8089,D,Flight,3,2,262,2,medium,M,4,5738,0
8671,D,Ship,3,1,159,3,low,M,10,4784,1
3217,D,Ship,3,4,154,2,medium,M,5,5735,1
8365,D,Flight,5,5,232,6,low,M,2,1550,1
4822,B,Ship,6,5,281,4,low,M, *7 ,1241,1
4370,F,Road,3,5,244,3,low,M,3,4652,1
7522,B,Road,2,2,247,3,medium,F,9,4284,1
8125,D,Ship,4,5,275,6,low,M,3,5008,0
7260,F,Flight,4,4,258,2,medium,F,5,4363,1
1638,F,Road,5,4,140,4,high,F,5,1130,1
8967,A,Ship,4,4,258,3,high,M,10,4958,1
1798,B,Flight,5,4,229,2,medium,M,9,3667,1
6298,B,Flight,6,1,293,5,medium,F, *7 ,1052,0
5682,F,Ship,5,4,229,3,low,M,1,5660,0
3984,F,Flight,4,4,263,2,medium,M,2,5797,1
9788,F,Ship,2,1,206,2,low,M, *7 ,4721,0
7115,C,Road,4,4,245,4,medium,F,6,5051,0
6698,F,Road,5,1,187,4,medium,F,9,5657,1
4861,D,Ship,4,1,212,3,low,M,3,4896,0
10128,F,Road,2,5,271,3,low,F,6,5471,1
5817,A,Ship,3,1,213,3,high,F,6,5535,0
7913,C,Ship,3,3,167,2,low,M,6,5101,0
4979,C,Ship,4,1,161,6,low,F,2,5734,0
10176,F,Ship,3,2,174,3,low,F,3,5207,1
5861,C,Ship,5,3,138,3,low,F,5,5687,1
7897,D,Ship,3,3,242,3,medium,F, *7 ,5915,1
7278,F,Flight,3,5,207,4,low,M,10,4092,1
6635,C,Ship,4,4,203,2,low,F,4,4793,0
7668,F,Flight,7,2,272,4,medium,F, *7 ,1816,0
8910,F,Flight,7,2,288,4,high,M,4,1321,0
4434,F,Ship,4,5,163,3,high,M,4,5863,0
9666,F,Ship,7,5,289,4,low,F,10,1074,1
3959,C,Road,6,1,132,4,medium,M,5,5235,1
7177,D,Ship,7,5,282,5,low,M, *7 ,1091,1
7782,F,Ship,4,1,249,6,medium,M,2,5720,1
809,C,Road,4,5,163,5,low,M,24,1658,1
10239,A,Ship,2,5,111,2,low,F,5,4038,1
3913,D,Ship,4,4,121,5,low,F, *7 ,4233,1
675,A,Road,4,5,202,3,low,F,6,2616,1
9383,C,Ship,3,5,144,3,medium,F,9,5912,0
8009,C,Ship,6,2,282,4,low,M,1,1857,1
5606,F,Road,4,4,179,3,medium,M,5,4061,1
9514,B,Ship,3,3,249,4,low,M, *7 ,5868,1
2288,F,Ship,3,1,215,6,high,M,5,3432,1
5653,D,Ship,3,5,196,3,medium,F,9,4741,1
6930,F,Ship,5,4,257,5,low,M,10,1695,1
10746,F,Ship,5,1,257,6,low,M,2,1258,1
3457,D,Ship,6,4,243,6,low,M, *7 ,5218,0
7532,F,Flight,4,4,148,2,low,M,4,5437,0
8354,F,Flight,6,1,272,4,low,F,2,1018,0
7362,F,Ship,4,3,157,3,medium,M,9,4990,0
5162,F,Ship,4,3,130,3,medium,F,3,4317,0
6326,F,Ship,3,4,237,3,low,M,1,5980,0
5041,D,Ship,7,3,310,4,medium,F, *7 ,1989,0
7310,F,Ship,4,2,268,2,medium,F, *7 ,4219,0
8581,D,Ship,4,2,233,4,high,F,6,5256,0
4859,C,Ship,5,4,193,4,high,F,4,5757,1
3271,D,Road,5,3,141,2,medium,M,4,5257,0
9619,D,Ship,5,3,192,7,medium,M,10,5976,0
9130,B,Ship,3,1,225,4,low,F,10,4080,1
7842,F,Ship,2,2,201,3,high,M,2,4865,1
267,A,Road,2,3,264,4,low,F,10,1648,1
10647,A,Ship,3,2,159,2,medium,M, *7 ,4326,0
3230,F,Ship,4,1,133,2,medium,M, *7 ,4277,0
3781,D,Ship,3,3,231,2,high,F, *7 ,5021,0
3523,D,Ship,5,3,181,4,low,F,2,5332,0
7195,D,Ship,5,1,243,5,low,M,3,1066,1
4182,F,Ship,4,5,169,2,low,F,10,4248,0
4209,A,Ship,4,2,224,3,low,F,3,5967,0
10076,F,Ship,4,4,221,4,low,F,2,5595,1
3794,F,Ship,2,2,230,3,low,F, *7 ,4889,0
9976,B,Road,4,2,238,5,medium,M,9,4618,0
5282,F,Ship,5,2,136,2,low,M,3,1370,0
8376,F,Ship,5,2,224,2,medium,M, *7 ,4047,1
2153,C,Ship,4,2,191,2,low,M,11,3985,1
7222,B,Ship,3,1,268,4,medium,F,4,5006,0
10599,A,Ship,4,2,177,3,medium,M,5,5757,0
994,B,Ship,4,3,210,3,medium,F,6,2568,1
7065,A,Ship,3,1,101,5,low,F,3,4807,0
1695,A,Ship,3,1,180,2,low,M,26,1715,1
5283,A,Ship,6,3,259,5,medium,F,1,1271,0
6539,C,Ship,6,3,251,4,low,M,1,1230,1
5414,F,Ship,4,5,199,2,low,F, *7 ,4463,0
4578,F,Ship,4,4,157,4,low,M,6,4175,0
4220,F,Ship,5,4,264,3,medium,M,2,5716,0
6868,B,Ship,4,4,223,5,medium,M,1,1124,1
1462,B,Ship,4,4,218,2,medium,M,27,2824,1
10877,C,Ship,3,3,141,2,low,M,2,5923,0
2822,F,Ship,3,1,141,2,low,F,4,1297,1
3372,F,Ship,4,3,270,2,high,F,5,5346,0
